post_id,post_url,author_name,author_id,text_content,likes,love,haha,wow,sad,angry,care,comments,shares,media_urls,publish_time
1446366714205247,https://facebook.com/1446366714205247,"ABS-CBN News",100064957951102,"President Donald Trump said on Wednesday (March 11) that Washington was in ""very good shape"" in its war on Iran and the U.S. was ""going to look very strongly at the straits.""  The war has rattled global markets. Raising the stakes for the global economy, Iran's Islamic Revolutionary Guard Corps has said it would block oil shipments from the Gulf unless the U.S. and Israeli attacks cease. ""We're just riding free range over that country, and now we're going to look very strongly at the straits. The straits are in great shape,"" Trump told reporters on Wednesday. In comments to CBS News earlier this week about the Strait of Hormuz, Trump said he was ""thinking about taking it over."" (Production: Eva Weininger)",409,14,86,1,0,8,5,88,18,https://scontent.fdoh12-1.fna.fbcdn.net/v/t15.5256-10/650053908_1464150048711481_515307127214242472_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=110&ccb=1-7&_nc_sid=be8305&_nc_ohc=yzL2DHqb_sEQ7kNvwHHkfdX&_nc_oc=AdkDKHkz77_6VGp5FUUo4JTdqnKySzjA0f-M-vdqne7MFR85GY210TJc9DxAGSadNbI&_nc_zt=23&_nc_ht=scontent.fdoh12-1.fna&_nc_gid=3uEa5Rk6TON_QUMI4Fv_Ug&_nc_ss=8&oh=00_AfwVWFdg-JyQ0FgN7EGN_GWmiEKbTkLud3fHF6Ilal8aXA&oe=69B86003,"2026-03-12 07:10:59"
1446372840871301,https://facebook.com/1446372840871301,"ABS-CBN News",100064957951102,"Iran warned it could wage a prolonged war with the United States and Israel that would ""destroy"" the world economy, even as US President Donald Trump vowed to ""finish the job"", saying there was little left for American forces to strike. | via ANC 24/7   Read the full story in the link in the comments section.",3335,64,124,21,1351,34,31,637,306,https://scontent.fdoh12-1.fna.fbcdn.net/v/t39.30808-6/650064870_1446343350874250_3028424891365032000_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=13d280&_nc_ohc=hWr5qN_FIzYQ7kNvwEs7NPq&_nc_oc=AdlkMeVcZcX-oEnaR3QOZEiktO9BvwLzpNzUICk_lAGfR07RKWwviHMHsNCAaOX-2hw&_nc_zt=23&_nc_ht=scontent.fdoh12-1.fna&_nc_gid=3uEa5Rk6TON_QUMI4Fv_Ug&_nc_ss=8&oh=00_Afyz15T4SE9tqkItvQKNN9eV3omI5CjCB9ZUei3cVp-mtA&oe=69B859CE,"2026-03-12 03:20:05"
1286996130206225,https://facebook.com/1286996130206225,WION,100066875501057,"Fact Check | Israel's 'huge mistake' amid Iran war: Did Tel Aviv attack North Korea's embassy in Tehran? Here’s the truth",270,0,55,2,0,1,1,79,22,https://external.fdoh6-1.fna.fbcdn.net/emg1/v/t13/11891182546329643028?url=https%3A%2F%2Fcdn1.wionews.com%2Fprod%2Fwion%2Fimages%2F2026%2F20260312%2Fimage-1773303401317.png%3Fimwidth%3D1200%26imheight%3D900&fb_obo=1&utld=wionews.com&stp=c0.5000x0.5000f_dst-jpg_flffffff_p1000x522_q75_tt6&_nc_gid=3uEa5Rk6TON_QUMI4Fv_Ug&_nc_oc=Adk2ZmoQZAoQUtDSCUYEoV0WKOh7KmybFdfmZUlHhAS_dc-YNkDNyCpOBlo--5TTFBU&ccb=13-1&oh=06_Q3-9ATAVIFuNb5bPP_rHy6EKS0nuWoJaSschjwttWeTiEYfq&oe=69B473B3&_nc_sid=f9da5c,"2026-03-12 08:25:12"
1442188194619500,https://facebook.com/1442188194619500,"GMA News",100064849986224,"ICYMI: Japan plans to release around 80 million barrels from its private and national oil reserves, the Ministry of Economy, Trade and Industry said on Wednesday, to help calm global oil markets and prevent supply shortages caused by the Iran war.",1699,785,6,40,0,0,124,109,90,https://scontent.fdoh12-1.fna.fbcdn.net/v/t39.30808-6/650105655_1441623934675926_1582705768052985079_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=13d280&_nc_ohc=2Ol30V6dkncQ7kNvwE4Dqed&_nc_oc=AdkMHwSWKVty63PkgI-aYSyQtNcgK0p9yAjDXHzhbGDjd5-yVt3MFPco30K_rG7JHqg&_nc_zt=23&_nc_ht=scontent.fdoh12-1.fna&_nc_gid=3uEa5Rk6TON_QUMI4Fv_Ug&_nc_ss=8&oh=00_Afw-Q51fjYb6lLpi6b2_r6M34hHDsXsY0g1SaOp_6hS6YA&oe=69B85DF2,"2026-03-11 17:40:14"
1441623961342590,https://facebook.com/1441623961342590,"GMA News",100064849986224,,0,0,0,0,0,0,0,0,0,,
940204705176001,https://facebook.com/940204705176001,"About That Street",100075594410723,"TRUMP IS ENDING THE US-IRAN WAR!  March 10, 2026, 10:43 A.M. PST   There are unverified fast spreading lies in form of rumors that Israeli Prime Minister Benjamin Netanyahu and Mossad Chief David Barnea were reportedly killed by Iranian ballistic missiles during a meeting over the weekend in Tel Aviv.  The Israeli government has not confirmed or denied widespread reports of their deaths.  President Donald Trump has lost interest in the US-Iran war.  Today, Trump threw Jared Kushner, Steve Witkoff, Pete Hegseth, and Marco Rubio under the bus by blaming them for his ill-advised decision to go to war.  Gas prices in the U.S. have skyrocketed since the war started two weeks ago. Gas is up to $8 per gallon in the Southern California market.  The American economy is collapsing under the weight of Trump's war, arbitrary tariffs, massive layoffs in the public and private sectors, negative job growth, and America's unserviceable $40 trillion national debt.  At this juncture, there will be no regime change in Iran, which is why Trump claims he went to war.  There will be no surrender by Iran, which he demanded last week.  Trump also rejected war-hawk Condoleeza Rice’s advice last week to ""take care"" of Iran ""for good"" by rendering them incapable of military action against the U.S. and its allies.  The US-Iran war is basically over, and America lost.  Trump has tasked Russian President Vladimir Putin with : (a) persuading the Iranians to stop their devastating missile and drone attacks on Israel, (b) securing the release of captured American Delta Force soldiers, and (c) arranging the return of Delta Force soldiers who were killed in Iran.  Thus far, Iran has not agreed to end the war. They want retribution for the 165 school children who were burned alive during a U.S. missile attack on their school last week.  Trump has not ruled out handing over the American commander who approved this missile strike for a trial in Iran.  The American servicemen who died in Trump's US-Iran war apparently died in vain.",220,0,27,2,0,1,0,70,17,https://scontent.fdoh12-1.fna.fbcdn.net/v/t39.30808-6/650948725_940204221842716_8826579597895969042_n.jpg?stp=dst-jpg_s1080x2048_tt6&_nc_cat=104&ccb=1-7&_nc_sid=13d280&_nc_ohc=143BTI2GWm8Q7kNvwHqOB3a&_nc_oc=Adm-I875vXmyh576AwKbSyV4RYkjZ4S_BOMzKoRz2GSDB2-q7VqqbJ2D4tDFz6hFSUA&_nc_zt=23&_nc_ht=scontent.fdoh12-1.fna&_nc_gid=3uEa5Rk6TON_QUMI4Fv_Ug&_nc_ss=8&oh=00_AfyaAeDEbhZ2_hJ5pY90eAGHv-xpnMxAvf0WewuOnxZjSw&oe=69B84C84,"2026-03-12 09:23:25"
1384021350438882,https://facebook.com/1384021350438882,"Al Jazeera English",100064930892385,"Iran war live: Oil tankers hit in Iraq, Tehran sets 3 conditions for peace",5976,83,523,18,78,7,25,496,154,https://scontent.fdoh12-1.fna.fbcdn.net/v/t39.30808-6/651170375_1384021337105550_7673726970455245181_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=13d280&_nc_ohc=oqW0v44g-bMQ7kNvwE3GSip&_nc_oc=AdmeyZHY9-7By3EhNz7jgQtR2MTnHYhXcTs7rgJJrYmuPrrh8cRbkV0vMh1_8-IhH5k&_nc_zt=23&_nc_ht=scontent.fdoh12-1.fna&_nc_gid=3uEa5Rk6TON_QUMI4Fv_Ug&_nc_ss=8&oh=00_AfxU6jfjneCCQT0bta7aEI8QFFAx-BY8YuG33L5F9uFGCw&oe=69B87097,"2026-03-12 01:00:02"
1366908485473765,https://facebook.com/1366908485473765,"Daily Trust",100064638796212,"Iran said Wednesday it was ready for a long war of attrition that would “destroy” the world economy, after firing on two commercial ships and threatening any vessels from the US or its allies.  Click the link for more: https://dailytrust.com/were-ready-for-long-war-that-will-destroy-world-economy-iran/",7825,156,474,63,41,13,24,2040,543,https://scontent.fdoh12-1.fna.fbcdn.net/v/t51.82787-15/650034591_18570470383050298_4152618977378891764_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=13d280&_nc_ohc=0rRBZoseRLEQ7kNvwF1h2xX&_nc_oc=AdmA_MdXqNYhFYrPaYPvZ-fWoSH2hZN2-VvO7GBO-ybIvtjpKItJPyWGi0xC6q7X9Bo&_nc_zt=23&_nc_ht=scontent.fdoh12-1.fna&_nc_gid=0h1Z8rG2o_moqR6sC4lTYQ&_nc_ss=8&oh=00_Afw7AtJw2vux9cOp0oeXtkFhgx5tu10cXFQ_yGrDEwa97A&oe=69B8587C,"2026-03-12 05:08:57"
1422242229947035,https://facebook.com/1422242229947035,"TIMES NOW",100064838136629,"Iran has said it is ready to end the war with the US and Israel only if three key conditions are met: recognition of Iran’s legitimate rights, payment of reparations for damage caused by attacks, and firm guarantees that such aggression will not happen again. Iranian officials said any mediation or ceasefire must include a complete halt to strikes and assurances against future attacks, rejecting a temporary truce without these commitments.  #TNWorldWatch",1077,37,146,2,1,2,2,283,69,https://scontent.fdoh12-1.fna.fbcdn.net/v/t39.30808-6/649138042_1422241453280446_7410258732078691388_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=13d280&_nc_ohc=Xa0380Tz6sMQ7kNvwFYjjWk&_nc_oc=AdkiHDYCpP1AfeSXuX90vYMODddhcJFSB1akp4ZB1K0Z9XNhAoLiosm44JvszjMsMVc&_nc_zt=23&_nc_ht=scontent.fdoh12-1.fna&_nc_gid=0h1Z8rG2o_moqR6sC4lTYQ&_nc_ss=8&oh=00_AfzE-kLbqxVeRRwzyFeFj1zh0DY5tr7hwxBoH6ykzvD07g&oe=69B87E4D,"2026-03-12 04:27:01"
1505657190918078,https://facebook.com/1505657190918078,"Indian Express",100044214347061,"As the war in Middle East enters 13th day, #Iran has spelt out 3 conditions to end the war with #Israel and US.  Taking to X, #Iran’s President Masoud Pezeshkian said he reaffirmed the country’s commitment to peace by talking to #Russia and #Pakistan.   Spelling out the 3 conditions, he said the only way to end the war that has been “ignited by the Zionist regime & US” is:   1) by recognising Iran’s legitimate rights  2) payment of reparations 3) firm international guarantees against future aggression.  The war that broke out after the US and Israel launched joint strikes on Iran on February 28 has so far saw fierce attacks and counter attacks, registering over 1,500 casualties.",660,53,52,2,1,1,2,129,38,https://scontent.fdoh12-1.fna.fbcdn.net/v/t51.82787-15/651048385_18581891944033426_8835677413443219651_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=13d280&_nc_ohc=X7LUAx0EOwoQ7kNvwHfoUxh&_nc_oc=AdmYnv2kxT07gWP1O_OanXlDKU3MClsIush6x5-TzRzUN2gTQEtfOkhNHT_dRbiTJ-k&_nc_zt=23&_nc_ht=scontent.fdoh12-1.fna&_nc_gid=0h1Z8rG2o_moqR6sC4lTYQ&_nc_ss=8&oh=00_AfzNp7Dw-BPjQc79r4hSG4WOZlUVTpULRwU7GL0m-LA3ag&oe=69B85DAF,"2026-03-12 05:45:40"
1524554089323800,https://facebook.com/1524554089323800,"NTV Kenya",100053076714173,"Iran war cuts fertiliser supplies to Kenya, Tanzania https://zurl.co/vRHEI",1319,2,34,2,6,0,2,296,28,https://scontent.fdoh12-1.fna.fbcdn.net/v/t39.30808-6/651022042_1524554049323804_4920400504275241021_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=13d280&_nc_ohc=JLcgYeOO3pIQ7kNvwG2HoX4&_nc_oc=AdmGNQbwf0ZPj8ITlIm8RTQy9wco5o7rM2RKkirFObTAMFhKypB8E_bRgj2Gpil7ZaI&_nc_zt=23&_nc_ht=scontent.fdoh12-1.fna&_nc_gid=0h1Z8rG2o_moqR6sC4lTYQ&_nc_ss=8&oh=00_AfxowW85B95WRG6xGTKl604XWQIYu_5hiHXXZi2sQuBTUQ&oe=69B870F2,"2026-03-12 08:00:08"
1450701490056961,https://facebook.com/1450701490056961,"ABC World News Tonight with David Muir",100053513703069,"With the war in Iran in its 12th day, the FBI has alerted authorities in California that Iran aspires to ""conduct a surprise attack"" on the West Coast using drones from an unidentified vessel. Aaron Katersky has details. https://abcnews.link/Z72PosR",7587,70,383,933,323,718,89,2035,2795,https://scontent.fdoh12-1.fna.fbcdn.net/v/t15.5256-10/649373025_2098827484245789_531328560745120679_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=106&ccb=1-7&_nc_sid=be8305&_nc_ohc=C-FCV6XCe2wQ7kNvwFXw-8y&_nc_oc=AdlqWN0IP-IC5n7yy0_ffNlW85q4QfpOop8xAmISa-6xUBqCGkvHKC9JAcD6MDpzoig&_nc_zt=23&_nc_ht=scontent.fdoh12-1.fna&_nc_gid=0h1Z8rG2o_moqR6sC4lTYQ&_nc_ss=8&oh=00_Afzm4wToVQT3C-6AELT0dU4uV-jEpuqrlRGeqeIupS-Wsg&oe=69B85DB7,"2026-03-12 00:43:16"
1301168615203066,https://facebook.com/1301168615203066,"The Wall Street Journal",100059298201442,"President Trump is signaling that he wants to wind down the war against Iran. But stopping the fighting carries big risks, even if Iran lets him.",105,1,41,1,0,4,1,108,13,https://external.fdoh6-1.fna.fbcdn.net/emg1/v/t13/13905393651981749280?url=https%3A%2F%2Fimages.wsj.net%2Fim-81985950%2Fsocial&fb_obo=1&utld=wsj.net&stp=c0.5000x0.5000f_dst-jpg_flffffff_p1000x522_q75_tt6&_nc_gid=0h1Z8rG2o_moqR6sC4lTYQ&_nc_oc=Admvz187107A1e_JJjFR96HfPpcOwOrdDgt6qBElfcx2kZmz8nWwWuePM_ObrWRHQZE&ccb=13-1&oh=06_Q3-9AaoLGPc55F6TrZx9TSjJvdHzE9VMoOhX6pWUXd8kFbgx&oe=69B471B6&_nc_sid=f9da5c,"2026-03-12 08:49:54"
1378368247660688,https://facebook.com/1378368247660688,"Punch Newspapers",100064625772115,"𝗨𝗦 𝘀𝗽𝗲𝗻𝘁 $11𝗯𝗻 𝗼𝗻 𝗜𝗿𝗮𝗻 𝘄𝗮𝗿 𝗶𝗻 𝘀𝗶𝘅 𝗱𝗮𝘆𝘀 – 𝗥𝗲𝗽𝗼𝗿𝘁  A Pentagon briefing reveals the US Iran war cost exceeded $11.3 billion in the first week, with a daily spending rate of nearly $1 billion....   𝗥𝗲𝗮𝗱 𝐟𝐮𝐥𝐥 𝐬𝐭𝐨𝐫𝐲 𝐢𝐧 𝐭𝐡𝐞 𝐜𝐨𝐦𝐦𝐞𝐧𝐭𝐬",476,11,89,14,2,1,0,224,52,https://scontent.fdoh12-1.fna.fbcdn.net/v/t39.30808-6/651708840_1378368227660690_1140827555729286664_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=13d280&_nc_ohc=hs_ywb5zW4oQ7kNvwFFWZpU&_nc_oc=AdmweRwmwU0Of92TgjUIG1ipkmthrkoTYVJDJoMLr2CXiTqtcp00z1Gx5aXYbn5m4B8&_nc_zt=23&_nc_ht=scontent.fdoh12-1.fna&_nc_gid=0h1Z8rG2o_moqR6sC4lTYQ&_nc_ss=8&oh=00_Afye_J0zG01CPcjES013ZZtf0Ifyb1_EX777_rZYKsrlng&oe=69B8723C,"2026-03-12 09:22:50"
1351611140159096,https://facebook.com/1351611140159096,"ABC News",100059306690876,"New Iranian Supreme Leader Mojtaba Khamenei was injured during the opening U.S.-Israeli strikes at the beginning of the war, Israeli sources told ABC News.   One Israeli source familiar with the matter said that his injuries include a fractured foot, bruising around his left eye and lacerations to his face. A second Israeli source said that Mojtaba was wounded with a leg injury and light facial injuries.  Follow live updates: https://abcnews.visitlink.me/AgCh7d",311,5,19,9,12,7,2,101,53,https://scontent.fdoh12-1.fna.fbcdn.net/v/t15.5256-10/649996557_1831241727587229_3453601100879620349_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=104&ccb=1-7&_nc_sid=be8305&_nc_ohc=pNNQvRjTalcQ7kNvwHUCGFS&_nc_oc=AdnV8DCTxpZmID_8EOcU3zlunLoxi4mjEi08RAl6T3DMXE8mYvwe_RsMo7rLVvWo_ec&_nc_zt=23&_nc_ht=scontent.fdoh12-1.fna&_nc_gid=0h1Z8rG2o_moqR6sC4lTYQ&_nc_ss=8&oh=00_AfwDN6P5qFILH01o5B7yyQA-aXOgziNUPAIJgVunYW5aBA&oe=69B84850,"2026-03-12 05:33:48"
